4.13,45.15,4.13,4.13,4.13,4.85,0.49
4.85,46.12,4.85,4.85,4.85,9.47,2.91
19.9,48.3,19.9,9.47,9.47,19.9,3.16
27.43,71.6,27.43,19.9,19.9,27.43,3.88
66.26,74.27,31.8,27.43,27.43,66.26,4.13
74.27,74.76,74.27,50,50,74.27,4.37
74.76,75.73,74.76,66.26,66.26,74.76,4.85
75.24,76.46,75.73,74.27,74.27,75.24,5.34
75.73,77.43,76.46,74.76,74.76,75.73,6.07
76.46,78.88,77.43,75.24,75.24,76.46,8.25
78.88,79.61,79.61,75.73,75.73,79.61,8.5
79.61,80.58,80.58,76.46,76.46,80.58,9.22
80.58,87.62,82.04,77.43,79.61,87.62,9.47
82.04,88.35,87.62,79.61,80.58,88.35,10.19
87.62,88.83,88.35,80.58,87.62,88.83,10.44
88.35,99.03,88.83,87.62,88.35,90.53,11.41
88.83,103.16,93.69,88.35,88.83,93.69,13.11
93.69,,98.06,88.83,90.53,99.03,14.08
98.06,,99.03,90.53,93.69,102.18,14.32
99.03,,102.18,92.96,99.03,103.16,15.29
102.18,,103.16,93.69,102.18,104.13,17.23
103.16,,104.13,99.03,103.16,106.07,22.57
104.13,,106.07,102.18,104.13,,42.72
106.07,,,103.16,,,43.69
,,,104.13,,,44.66
,,,106.07,,,44.9
,,,,,,45.87
,,,,,,46.84
,,,,,,47.82
,,,,,,48.79
,,,,,,49.76
,,,,,,50.73
,,,,,,51.94
,,,,,,52.91
,,,,,,53.16
,,,,,,54.13
,,,,,,54.85
,,,,,,57.28
,,,,,,58.01
,,,,,,58.25
,,,,,,58.98
,,,,,,62.14
,,,,,,67.48
,,,,,,74.76
,,,,,,75.73
,,,,,,76.46
,,,,,,78.4
,,,,,,79.61
,,,,,,80.58
,,,,,,87.62
,,,,,,88.35
,,,,,,88.83
,,,,,,90.53
,,,,,,91.99
,,,,,,93.69
,,,,,,95.39
,,,,,,96.12
,,,,,,97.09
,,,,,,98.06
,,,,,,99.03
,,,,,,100
,,,,,,102.18
,,,,,,103.16
,,,,,,104.13
,,,,,,105.58
,,,,,,106.07
,,,,,,108.25
,,,,,,111.41
,,,,,,112.14
,,,,,,112.38
,,,,,,113.11
,,,,,,115.29
,,,,,,116.26
,,,,,,117.23
,,,,,,118.45
